Name,RowId,Description
"Allagan Tomestone of Mathematics",48,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable numerical calculations gathered by the lost Allagan Empire."
"Allagan Tomestone of Mnemonics",49,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on the enhancement of memory gathered by the lost Allagan Empire."
"",50,""
"",51,""
"",52,""
"",53,""
"",54,""
"",55,""
"",56,""
"",57,""
"",58,""
"",59,""
"",60,""
"",61,""
"",62,""
"",63,""
"",64,""
"",65,""
"",66,""
"",67,""
"",68,""
"",69,""
"",70,""
"",71,""
"",72,""
"",73,""
"",74,""
"",75,""
"",76,""
"",77,""
"",78,""
"",79,""
"",80,""
"",81,""
"",82,""
"",83,""
"",84,""
"",85,""
"",86,""
"",87,""
"",88,""
"",89,""
"",90,""
"",91,""
"",92,""
"",93,""
"",94,""
"",95,""
"",96,""
"",97,""
"",98,""
"",99,""
"Dated Bronze Gladius",100,""
"Dated Bronze Dagger",101,""
"Dated Bronze Spatha",102,""
"Dated Blinding Dagger",103,""
"Dated Silencing Dagger",104,""
"Dated Brass Gladius",105,""
"Dated Brass Dagger",106,""
"Dated Paralyzing Dagger",107,""
"Dated Sleeping Dagger",108,""
"Dated Ash Macuahuitl",109,""
"Dated Iron Gladius",110,""
"Dated Iron Dagger",111,""
"Dated Iron Spatha",112,""
"Dated Maddening Dagger",113,""
"Dated Poison Dagger",114,""
"Dated Elm Macuahuitl",115,""
"Dated Bee Spatha",116,""
"Dated Iron Falchion",117,""
"Dated Iron Shortsword",118,""
"Dated Walnut Macuahuitl",119,""
"Dated Iron Longsword",120,""
"Dated Toothed Falchion",121,""
"Dated Plumed Walnut Macuahuitl",122,""
"Dated Oak Macuahuitl",123,""
"Dated Bone Hora",124,""
"Dated Leather Himantes",125,""
"Dated Bronze Knuckles",126,""
"Dated Dodoskin Cesti",127,""
"Dated Brass Knuckles",128,""
"Dated Tortoiseshell Hora",129,""
"Dated Toadskin Cesti",130,""
"Dated Spiked Knuckles",131,""
"Dated Boarskin Himantes",132,""
"Dated Iron Baghnakhs",133,""
"Dated Crabshell Hora",134,""
"Dated Smothering Baghnakhs",135,""
"Dated Disabling Baghnakhs",136,""
"Dated Peiste Cesti",137,""
"Dated Jade Hora",138,""
"Dated Bronze War Axe",139,""
"Dated Bronze Labrys",140,""
"Dated Spiked Bronze Labrys",141,""
"Dated Storm Axe",142,""
"Dated Iron War Axe",143,""
"Dated Iron Labrys",144,""
"Dated Spiked Iron Labrys",145,""
"Dated Inferno Axe",146,""
"Dated Iron Bhuj",147,""
"Dated Bronze Bardiche",148,""
"Dated Iron Bill",149,""
"Dated Thunderstorm Axe",150,""
"Dated Engraved Bhuj",151,""
"Dated Bronze Spear",152,""
"Dated Harpoon",153,""
"Dated Feathered Harpoon",154,""
"Dated Brass Spear",155,""
"Dated Iron Spear",156,""
"Dated Iron Lance",157,""
"Dated Tortoiseshell Harpoon",158,""
"Dated Iron Guisarme",159,""
"Dated Battle Fork",160,""
"Dated Heavy Iron Lance",161,""
"Dated Yarzonshell Harpoon",162,""
"Dated Jarl's Guisarme",163,""
"Dated Banneret Lance",164,""
"Dated Iron Halberd",165,""
"Dated Willow Shortbow",166,""
"Dated Maple Longbow",167,""
"Dated Elm Shortbow",168,""
"Dated Cavalry Bow",169,""
"Dated Wrapped Maple Longbow",170,""
"Dated Plumed Willow Shortbow",171,""
"Dated Willow Composite Bow",172,""
"Dated Ironclad Cavalry Bow",173,""
"Dated Ash Longbow",174,""
"Dated Elm Velocity Bow",175,""
"Dated Weevil Bow",176,""
"Dated Armored Cavalry Bow",177,""
"Dated Wrapped Ash Longbow",178,""
"Dated Oak Composite Bow",179,""
"Dated Yew Longbow",180,""
"Dated Crab Bow",181,""
"Dated Maple Wand",182,""
"Dated Budding Maple Wand",183,""
"Dated Maple Wand of Flames",184,""
"Dated Maple Wand of Gales",185,""
"Dated Maple Wand of Storms",186,""
"Dated Maple Wand of Tremors",187,""
"Dated Maple Wand of Tides",188,""
"Dated Maple Wand of Frost",189,""
"Dated Willow Wand",190,""
"Dated Budding Willow Wand",191,""
"Dated Willow Wand of Flames",192,""
"Dated Willow Wand of Gales",193,""
"Dated Willow Wand of Storms",194,""
"Dated Willow Wand of Tremors",195,""
"Dated Willow Wand of Tides",196,""
"Dated Willow Wand of Frost",197,""
"Dated Walnut Wand",198,""
"Dated Budding Walnut Wand",199,""
"Dated Walnut Wand of Flames",200,""
"Dated Walnut Wand of Gales",201,""
"Dated Walnut Wand of Storms",202,""
"Dated Walnut Wand of Tremors",203,""
"Dated Walnut Wand of Tides",204,""
"Dated Walnut Wand of Frost",205,""
"Dated Ash Cane",206,""
"Dated Elm Cane",207,""
"Dated Pine Crook",208,""
"Dated Pastoral Elm Cane",209,""
"Dated Plumed Pine Crook",210,""
"Dated Mahogany Radical",211,""
"Dated Oak Cane",212,""
"Dated Flambeau Radical",213,""
"Dated Yew Crook",214,""
"Dated Sprouting Radical",215,""
"Dated Pastoral Oak Cane",216,""
"Dated Plumed Yew Crook",217,""
"Dated Jade Crook",218,""
"Dated Copper Scepter",219,""
"Dated Decorated Copper Scepter",220,""
"Dated Brass Cudgel",221,""
"Dated Silver Scepter",222,""
"Dated Brand",223,""
"Dated Decorated Silver Scepter",224,""
"Dated Iron Cudgel",225,""
"Dated Ornate Silver Scepter",226,""
"Dated Wind Brand",227,""
"Dated Earth Brand",228,""
"Dated Lightning Brand",229,""
"Dated Ice Brand",230,""
"Dated Fire Brand",231,""
"Dated Water Brand",232,""
"Dated Bone Staff",233,""
"Dated Decorated Bone Staff",234,""
"Dated Horn Staff",235,""
"Dated Decorated Horn Staff",236,""
"Dated Square Maple Shield",237,""
"Dated Bronze Hoplon",238,""
"Dated Round Chestnut Shield",239,""
"Dated Bronze Buckler",240,""
"Dated Square Ash Shield",241,""
"Dated Sheepskin Targe",242,""
"Dated Bronze Pelta",243,""
"Dated Warded Round Shield",244,""
"Dated Ironclad Bronze Buckler",245,""
"Dated Bronze Scutum",246,""
"Dated Iron Hoplon",247,""
"Dated Round Oak Shield",248,""
"Dated Leather Targe",249,""
"Dated Decorated Buckler",250,""
"Dated Lantern Shield",251,""
"Dated Iron Scutum",252,""
"Dated Iron Pelta",253,""
"Dated Serpent Shield",254,""
"Dated Bladed Lantern Shield",255,""
"Dated Raptorskin Targe",256,""
"Dated Decorated Iron Scutum",257,""
"Dated Bull Hoplon",258,""
"Dated Bronze Saw",259,""
"Dated Chocobotail Saw",260,""
"Dated Fish Saw",261,""
"Dated Iron Saw",262,""
"Dated Bas-relief Iron Saw",263,""
"Dated Crosscut Saw",264,""
"Dated Iron Chocobotail Saw",265,""
"Dated Bronze Claw Hammer",266,""
"Dated Iron Claw Hammer",267,""
"Dated Steel Claw Hammer",268,""
"Dated Bronze Cross-pein Hammer",269,""
"Dated Birdsbeak Hammer",270,""
"Dated Fortified Birdsbeak Hammer",271,""
"Dated Iron Cross-pein Hammer",272,""
"Dated Crowsbeak Hammer",273,""
"Dated Wrapped Crowsbeak Hammer",274,""
"Dated Heavy Crowsbeak Hammer",275,""
"Dated Bronze File",276,""
"Dated Iron File",277,""
"Dated Polished Iron File",278,""
"Dated Bronze Doming Hammer",279,""
"Dated Bronze Raising Hammer",280,""
"Dated Tin Bronze Raising Hammer",281,""
"Dated Iron Doming Hammer",282,""
"Dated Iron Raising Hammer",283,""
"Dated Wrapped Iron Raising Hammer",284,""
"Dated Heavy-duty Iron Raising Hammer",285,""
"Dated Bronze Pliers",286,""
"Dated Iron Pliers",287,""
"Dated Steel Pliers",288,""
"Dated Bronze Chaser Hammer",289,""
"Dated Bronze Ornamental Hammer",290,""
"Dated Tin Bronze Ornamental Hammer",291,""
"Dated Iron Chaser Hammer",292,""
"Dated Fortified Iron Chaser Hammer",293,""
"Dated Iron Ornamental Hammer",294,""
"Dated Steel Chaser Hammer",295,""
"Dated Mudstone Grinding Wheel",296,""
"Dated Ragstone Grinding Wheel",297,""
"Dated Siltstone Grinding Wheel",298,""
"Dated Bronze Head Knife",299,""
"Dated Brass Head Knife",300,""
"Dated Heavy-duty Brass Head Knife",301,""
"Dated Iron Round Knife",302,""
"Dated Iron Head Knife",303,""
"Dated Darksilver Head Knife",304,""
"Dated Steel Round Knife",305,""
"Dated Bronze Awl",306,""
"Dated Iron Awl",307,""
"Dated Steel Awl",308,""
"Dated Bronze Needle",309,""
"Dated Hedgemole Needle",310,""
"Dated Iron Needle",311,""
"Dated Silver Needle",312,""
"Dated Steel Needle",313,""
"Dated Thousand Needle",314,""
"Dated Maple Spinning Wheel",315,""
"Dated Elm Spinning Wheel",316,""
"Dated Walnut Spinning Wheel",317,""
"Dated Oak Spinning Wheel",318,""
"Dated Copper Alembic",319,""
"Dated Brass Alembic",320,""
"Dated Tin Alembic",321,""
"Dated Iron Alembic",322,""
"Dated Conical Alembic",323,""
"Dated Silver Alembic",324,""
"Dated Thermal Alembic",325,""
"Dated Bronze Mortar",326,""
"Dated Iron Mortar",327,""
"Dated Steel Mortar",328,""
"Dated Bronze Skillet",329,""
"Dated Iron Skillet",330,""
"Dated White Skillet",331,""
"Dated Royal Kitchens Skillet",332,""
"Dated Iron Frypan",333,""
"Dated Steel Skillet",334,""
"Dated Bomb Frypan",335,""
"Dated Bronze Culinary Knife",336,""
"Dated Iron Culinary Knife",337,""
"Dated Mythril Culinary Knife",338,""
"Dated Bronze Pickaxe",339,""
"Dated Plumed Bronze Pickaxe",340,""
"Dated Oiled Bronze Pickaxe",341,""
"Dated Iron Pickaxe",342,""
"Dated Polished Iron Pickaxe",343,""
"Dated Dodotail Pickaxe",344,""
"Dated Iron Dolabra",345,""
"Dated Bronze Sledgehammer",346,""
"Dated Iron Sledgehammer",347,""
"Dated Mythril Sledgehammer",348,""
"Dated Bronze Hatchet",349,""
"Dated Plumed Bronze Hatchet",350,""
"Dated Oiled Bronze Hatchet",351,""
"Dated Brass Hatchet",352,""
"Dated Iron Hatchet",353,""
"Dated Steel Hatchet",354,""
"Dated Plumed Iron Hatchet",355,""
"Dated Bronze Scythe",356,""
"Dated Iron Scythe",357,""
"Dated Steel Scythe",358,""
"Dated Ash Fishing Rod",359,""
"Dated Willow Fishing Rod",360,""
"Dated Pine Fishing Rod",361,""
"Dated Bamboo Fishing Rod",362,""
"Dated Rattan Fishing Rod",363,""
"Dated Yew Fishing Rod",364,""
"Dated Horn Fishing Rod",365,""
"Weathered Coif (Grey)",366,""
"Weathered Beret (Beige)",367,""
"Weathered Spectacles",368,""
"Weathered Bandana",369,""
"Weathered Sun Hat",370,""
"Weathered Beach Hat (Blue)",371,""
"Dated Hempen Coif",372,""
"Dated Hempen Coif (Brown)",373,""
"Dated Hempen Coif (Grey)",374,""
"Dated Hempen Coif (Beige)",375,""
"Dated Straw Hat",376,""
"Dated Hempen Bandana",377,""
"Dated Hempen Bandana (Beige)",378,""
"Dated Hempen Bandana (Brown)",379,""
"Dated Hempen Bandana (Grey)",380,""
"Dated Hempen Scarf",381,""
"Dated Hempen Scarf (Grey)",382,""
"Dated Hempen Scarf (Beige)",383,""
"Dated Hempen Scarf (Brown)",384,""
"Dated Hempen Beret",385,""
"Dated Hempen Beret (Brown)",386,""
"Dated Hempen Beret (Grey)",387,""
"Dated Hempen Beret (Beige)",388,""
"Dated Hempen Hat",389,""
"Dated Hempen Hat (Brown)",390,""
"Dated Hempen Hat (Grey)",391,""
"Dated Hempen Hat (Beige)",392,""
"Dated Lauan Halfmask",393,""
"Dated Walking Hat",394,""
"Dated Hempen Turban",395,""
"Dated Hempen Turban (Brown)",396,""
"Dated Hempen Turban (Grey)",397,""
"Dated Hempen Turban (Beige)",398,""
"Dated Sheepskin Calot",399,""
"Dated Sheepskin Calot (Taupe)",400,""
"Dated Sheepskin Calot (Grey)",401,""
"Dated Hunting Hat (Brown)",402,""
"Dated Hunting Hat (Grey)",403,""
"Dated Hunting Hat (Beige)",404,""
"Dated Sheepskin Pot Helm",405,""
"Dated Hempen Sugarloaf Hat (Brown)",406,""
"Dated Hempen Sugarloaf Hat (Grey)",407,""
"Dated Hempen Sugarloaf Hat (Beige)",408,""
"Dated Cotton Coif",409,""
"Dated Cotton Coif (Red)",410,""
"Dated Cotton Coif (Yellow)",411,""
"Dated Cotton Coif (Green)",412,""
"Dated Cotton Coif (Blue)",413,""
"Dated Copper Spectacles",414,""
"Dated Weathered Spectacles (Black)",415,""
"Dated Weathered Spectacles (Green)",416,""
"Dated Copper Circlet (Sunstone)",417,""
"Dated Copper Circlet (Lapis Lazuli)",418,""
"Dated Copper Circlet (Sphene)",419,""
"Dated Copper Circlet (Malachite)",420,""
"Dated Copper Circlet (Fluorite)",421,""
"Dated Copper Circlet (Danburite)",422,""
"Dated Cotton Bandana",423,""
"Dated Cotton Bandana (Red)",424,""
"Dated Cotton Bandana (Yellow)",425,""
"Dated Cotton Bandana (Green)",426,""
"Dated Cotton Bandana (Blue)",427,""
"Dated Copper Barbut",428,""
"Dated Cotton Scarf",429,""
"Dated Cotton Scarf (Red)",430,""
"Dated Cotton Scarf (Yellow)",431,""
"Dated Cotton Scarf (Green)",432,""
"Dated Cotton Scarf (Blue)",433,""
"Dated Cotton Beret",434,""
"Dated Cotton Beret (Green)",435,""
"Dated Cotton Beret (Red)",436,""
"Dated Cotton Beret (Yellow)",437,""
"Dated Cotton Beret (Blue)",438,""
"Dated Bronze Sallet",439,""
"Dated Bronze Goggles",440,""
"Dated Bronze Goggles (Yellow)",441,""
"Dated Bronze Goggles (Black)",442,""
"Dated Brass Magnifiers (Red)",443,""
"Dated Willow Halfmask",444,""
"Dated Tarred Walking Hat",445,""
"Dated Cotton Turban",446,""
"Dated Cotton Turban (Red)",447,""
"Dated Cotton Turban (Yellow)",448,""
"Dated Cotton Turban (Green)",449,""
"Dated Cotton Turban (Blue)",450,""
"Dated Dodoskin Calot",451,""
"Dated Dodoskin Calot (Black)",452,""
"Dated Trapper's Hat",453,""
"Dated Trapper's Hat (Red)",454,""
"Dated Trapper's Hat (Yellow)",455,""
"Dated Trapper's Hat (Green)",456,""
"Dated Trapper's Hat (Blue)",457,""
"Dated Bronze Elmo",458,""
"Dated Dodoskin Pot Helm",459,""
"Dated Dodoskin Pot Helm (Black)",460,""
"Dated Cotton Sugarloaf Hat (Red)",461,""
"Dated Cotton Sugarloaf Hat (Green)",462,""
"Dated Cotton Sugarloaf Hat (Blue)",463,""
"Dated Canvas Coif",464,""
"Dated Canvas Coif (Auburn)",465,""
"Dated Canvas Coif (Pink)",466,""
"Dated Canvas Coif (Brown)",467,""
"Dated Canvas Coif (Blue)",468,""
"Dated Brass Spectacles",469,""
"Dated Brass Spectacles (Yellow)",470,""
"Dated Brass Circlet (Sunstone)",471,""
"Dated Brass Circlet (Lapis Lazuli)",472,""
"Dated Brass Circlet (Sphene)",473,""
"Dated Brass Circlet (Malachite)",474,""
"Dated Brass Circlet (Fluorite)",475,""
"Dated Brass Circlet (Danburite)",476,""
"Dated Canvas Bandana",477,""
"Dated Canvas Bandana (Auburn)",478,""
"Dated Canvas Bandana (Pink)",479,""
"Dated Canvas Bandana (Brown)",480,""
"Dated Canvas Bandana (Blue)",481,""
"Dated Bronze Barbut",482,""
"Dated Canvas Beret",483,""
"Dated Canvas Beret (Auburn)",484,""
"Dated Canvas Beret (Pink)",485,""
"Dated Canvas Beret (Brown)",486,""
"Dated Canvas Beret (Blue)",487,""
"Dated Brass Preserves (Red)",488,""
"Dated Brass Preserves (Green)",489,""
"Dated Assault Sallet",490,""
"Dated Canvas Hat",491,""
"Dated Canvas Hat (Auburn)",492,""
"Dated Canvas Hat (Pink)",493,""
"Dated Canvas Hat (Brown)",494,""
"Dated Canvas Hat (Blue)",495,""
"Dated Iron Magnifiers (Red)",496,""
"Dated Oak Halfmask",497,""
"Dated Bronze Chain Coif",498,""
"Dated Fishing Hat",499,""
"Dated Fishing Hat (Red)",500,""
"Dated Fishing Hat (Yellow)",501,""
"Dated Fishing Hat (Green)",502,""
"Dated Fishing Hat (Blue)",503,""
"Dated Leather Calot (Black)",504,""
"Dated Leather Calot (Ochre)",505,""
"Dated Leather Calot (Green)",506,""
"Dated Leather Calot (Red)",507,""
"Dated Tracker's Hat",508,""
"Dated Tracker's Hat (Auburn)",509,""
"Dated Tracker's Hat (Pink)",510,""
"Dated Tracker's Hat (Brown)",511,""
"Dated Tracker's Hat (Blue)",512,""
"Dated Brass Elmo",513,""
"Dated Leather Pot Helm (Black)",514,""
"Dated Leather Pot Helm (Ochre)",515,""
"Dated Leather Pot Helm (Green)",516,""
"Dated Leather Pot Helm (Red)",517,""
"Dated Canvas Wedge Cap",518,""
"Dated Canvas Wedge Cap (Auburn)",519,""
"Dated Canvas Wedge Cap (Pink)",520,""
"Dated Canvas Wedge Cap (Brown)",521,""
"Dated Canvas Wedge Cap (Blue)",522,""
"Dated Velveteen Coif",523,""
"Dated Velveteen Coif (Black)",524,""
"Dated Velveteen Coif (Red)",525,""
"Dated Velveteen Coif (Yellow)",526,""
"Dated Velveteen Coif (Green)",527,""
"Dated Silver Spectacles",528,""
"Dated Silver Spectacles (Yellow)",529,""
"Dated Silver Circlet (Garnet)",530,""
"Dated Silver Circlet (Aquamarine)",531,""
"Dated Silver Circlet (Heliodor)",532,""
"Dated Silver Circlet (Peridot)",533,""
"Dated Silver Circlet (Amethyst)",534,""
"Dated Silver Circlet (Goshenite)",535,""
"Dated Iron Barbut",536,""
"Dated Velveteen Scarf",537,""
"Dated Velveteen Scarf (Black)",538,""
"Dated Velveteen Scarf (Red)",539,""
"Dated Velveteen Scarf (Yellow)",540,""
"Dated Velveteen Scarf (Green)",541,""
"Dated Velveteen Beret",542,""
"Dated Velveteen Beret (Black)",543,""
"Dated Velveteen Beret (Red)",544,""
"Dated Velveteen Beret (Yellow)",545,""
"Dated Velveteen Beret (Green)",546,""
"Dated Iron Preserves (Red)",547,""
"Dated Iron Preserves (Green)",548,""
"Dated Iron Sallet",549,""
"Dated Velveteen Hat",550,""
"Dated Velveteen Hat (Black)",551,""
"Dated Velveteen Hat (Red)",552,""
"Dated Velveteen Hat (Yellow)",553,""
"Dated Velveteen Hat (Green)",554,""
"Dated Silver Magnifiers (Green)",555,""
"Dated Yew Halfmask",556,""
"Dated Iron Chain Coif",557,""
"Dated Bronze Celata",558,""
"Dated Velveteen Turban",559,""
"Dated Velveteen Turban (Black)",560,""
"Dated Velveteen Turban (Red)",561,""
"Dated Velveteen Turban (Yellow)",562,""
"Dated Velveteen Turban (Green)",563,""
"Dated Bowman's Hat",564,""
"Dated Bowman's Hat (Black)",565,""
"Dated Bowman's Hat (Red)",566,""
"Dated Bowman's Hat (Yellow)",567,""
"Dated Bowman's Hat (Green)",568,""
"Dated Toadskin Pot Helm (Sunstone)",569,""
"Dated Toadskin Pot Helm (Lapis Lazuli)",570,""
"Dated Toadskin Pot Helm (Sphene)",571,""
"Dated Toadskin Pot Helm (Malachite)",572,""
"Dated Toadskin Pot Helm (Fluorite)",573,""
"Dated Toadskin Pot Helm (Danburite)",574,""
"Dated Velveteen Sugarloaf Hat (Black)",575,""
"Dated Velveteen Sugarloaf Hat (Red)",576,""
"Dated Velveteen Sugarloaf Hat (Green)",577,""
"Dated Velveteen Wedge Cap",578,""
"Dated Velveteen Wedge Cap (Black)",579,""
"Dated Velveteen Wedge Cap (Red)",580,""
"Dated Velveteen Wedge Cap (Yellow)",581,""
"Dated Velveteen Wedge Cap (Green)",582,""
"Dated Darksilver Circlet (Garnet)",583,""
"Dated Darksilver Circlet (Aquamarine)",584,""
"Dated Darksilver Circlet (Heliodor)",585,""
"Dated Darksilver Circlet (Peridot)",586,""
"Dated Darksilver Circlet (Amethyst)",587,""
"Dated Darksilver Circlet (Goshenite)",588,""
"Dated Walnut Mask",589,""
"Dated Visored Barbut",590,""
"Dated Chef's Hat",591,""
"Dated Chef's Hat (Black)",592,""
"Dated Chef's Hat (Red)",593,""
"Dated Chef's Hat (Yellow)",594,""
"Dated Chef's Hat (Green)",595,""
"Dated Iron Assault Sallet",596,""
"Dated Cavalry Chain Coif",597,""
"Dated Cavalry Chain Coif (Red)",598,""
"Dated Cavalry Chain Coif (Black)",599,""
"Dated Cavalry Chain Coif (Ochre)",600,""
"Dated Cavalry Chain Coif (Green)",601,""
"Dated Electrum Circlet (Rubellite)",602,""
"Dated Electrum Circlet (Turquoise)",603,""
"Dated Electrum Circlet (Amber)",604,""
"Dated Electrum Circlet (Tourmaline)",605,""
"Dated Electrum Circlet (Spinel)",606,""
"Dated Electrum Circlet (Zircon)",607,""
"Dated Iron Celata",608,""
"Dated Iron Celata (Green)",609,""
"Dated Iron Celata (Brown)",610,""
"Dated Linen Wedge Cap",611,""
"Dated Linen Wedge Cap (Pink)",612,""
"Dated Linen Wedge Cap (Blue)",613,""
"Dated Linen Wedge Cap (Brown)",614,""
"Dated Linen Wedge Cap (Yellow)",615,""
"Weathered Doublet (Yellow)",616,""
"Weathered Robe",617,""
"Weathered Dalmatica",618,""
"Weathered Dalmatica (Grey)",619,""
"Weathered Gown (Grey)",620,""
"Weathered Gown (Beige)",621,""
"Weathered Hunting Tunic (Brown)",622,""
"Weathered Shirt",623,""
"Weathered Acton (Grey)",624,""
"Weathered Jerkin (Brown)",625,""
"Weathered Tabard",626,""
"Weathered Doublet Vest (Grey)",627,""
"Weathered Halfrobe (Beige)",628,""
"Dated Hempen Dalmatica",629,""
"Dated Hempen Dalmatica (Brown)",630,""
"Dated Hempen Dalmatica (Grey)",631,""
"Dated Hempen Dalmatica (Beige)",632,""
"Dated Hempen Tunic",633,""
"Dated Hempen Tunic (Brown)",634,""
"Dated Hempen Tunic (Beige)",635,""
"Dated Hempen Tunic (Grey)",636,""
"Dated Hempen Halfrobe",637,""
"Dated Hempen Halfrobe (Brown)",638,""
"Dated Hempen Halfrobe (Beige)",639,""
"Dated Hempen Halfrobe (Grey)",640,""
"Dated Hempen Gown",641,""
"Dated Hempen Gown (Brown)",642,""
"Dated Hempen Gown (Grey)",643,""
"Dated Hempen Gown (Beige)",644,""
"Dated Hempen Doublet Vest",645,""
"Dated Hempen Doublet Vest (Brown)",646,""
"Dated Hempen Doublet Vest (Beige)",647,""
"Dated Hempen Doublet Vest (Grey)",648,""
"Dated Hempen Tabard",649,""
"Dated Hempen Tabard (Brown)",650,""
"Dated Hempen Tabard (Beige)",651,""
"Dated Hempen Tabard (Grey)",652,""
"Dated Hempen Doublet",653,""
"Dated Hempen Doublet (Brown)",654,""
"Dated Hempen Doublet (Grey)",655,""
